Posição,Score Qualidade,QS Reputação,Rank QS (Med),Rank THE (Med),Censis,Nature Index,Instituição,NUMBEO COL,LAB24 QoL,Non-EU Seats,Non-EU Cut-off (2025),Non-EU Cut-off (2023),C/O
1º,83.43,"83,20",72,188,"82,5","64,74",Sapienza University of Rome,"61,3","549,24",13,"65,8","50,8","61,3"
2º,77.33,"64,00",76,95,98,"48,41",University of Bologna,"68,7","612,42",20,"70,3","59,1","66,94"
3º,73.88,"64,90",65,138,"93,5","41,93",University of Milan (Statale),"75,4","609,09",15,"72,9","60,2","69,09"
4º,69.74,"60,10",104,163,94,"77,91",University of Padua,"65,2","608,28",25,"65,4","49,5","60,63"
5º,52.54,"47,90",225,225,104,"33,13",University of Milano-Bicocca,"75,4","609,09",18,"65,1","54,2","61,83"
6º,52.13,"46,20",225,225,109,"19,78",University of Pavia,"60,32","538,68",35 (+5),73,"53,3","67,09"
7º,50.92,"59,90",275,275,85,"36,61",University of Turin,62,"538,29",32,—,50,50
8º,45.98,"51,50",225,225,"81,5","19,66",University of Rome Tor Vergata,"61,3","549,24",20,"69,1","53,4","64,39"
9º,45.95,"54,40",225,225,71,"42,89",University of Naples Federico II,"59,8","411,41",45,"63,1",52,"59,77"
10º,28.59,"43,10",375,275,78,6,University of Catania,"52,9","448,59",60,"61,6",-,"61,6"
11º,21.19,"44,00",475,450,89,"20,38",University of Parma,"61,83","607,23",45,"67,6","50,1","62,35"
12º,15.32,"42,00",675,350,"84,5","4,87",University of Messina,"55,8","457,39",56,"58,2","36,9","51,81"
13º,13.70,"44,50",475,450,70,"11,56",University of Bari,"56,7","523,26",11,"49,3","32,2","44,17"
14º,10.99,"41,50",775,350,"83,5","4,68",Marche (Ancona),"61,42","588,29",60,"58,2",43,"53,64"
15º,8.10,"41,30",675,450,"81,5",7,University of Cagliari,"63,5","567,87",20,"54,2",-,"54,2"
16º,7.22,"42,10",625,450,73,"6,48",University of Campania (Vanvitelli),"59,8","416,93",50,"66,2","47,3","60,53"
,,,,,,,,,,,,,
UNI,Qs_rep_calc,Censis_calc,Nat_index_calc,Qs_rank_calc,THE_rank_calc,SCORE_Q,Corte_calc,COL_calc,QOL_calc,city_size,,,
Sapienza University of Rome,100,"32,05128205","82,01556739","99,01408451","73,8028169","83,42255518","68,7399679","62,66666667","68,56872792",2,,,
University of Bologna,"54,17661098","71,79487179","59,7159634","98,45070423",100,"77,32951884","91,37239165","29,77777778",100,1,,,
University of Milan (Statale),"56,32458234","60,25641026","50,86713096",100,"87,88732394","73,87288669",100,0,"98,343366",2,,,
University of Padua,"44,86873508","61,53846154",100,"94,50704225","80,84507042","69,73060116","66,05136437","45,33333333","97,94040098",1,,,
University of Milano-Bicocca,"15,75178998","87,17948718","38,85019801","77,46478873","63,38028169","52,57481299","70,86677368",0,"98,343366",2,,,
University of Pavia,"11,69451074",100,"20,6199645","77,46478873","63,38028169","52,1663305","91,97431782","67,02222222","63,31525795",0,,,
University of Turin,"44,39140811","38,46153846","43,60234876","70,42253521","49,29577465","50,95112978","23,39486356","59,55555556","63,12123775",2,,,
University of Rome Tor Vergata,"24,34367542","29,48717949","20,45609723","77,46478873","63,38028169","46,0084217","81,13964687","62,66666667","68,56872792",2,,,
University of Naples Federico II,"31,26491647","2,564102564","52,1780691","77,46478873","63,38028169","45,97849312","62,60032103","69,33333333",0,2,,,
University of Catania,"4,295942721","20,51282051","1,802539943","56,33802817","49,29577465","28,614292","69,94382022",100,"18,49659221",1,,,
University of Parma,"6,443914081","48,71794872","21,43930083","42,25352113",0,"21,19840756","72,95345104","60,31111111","97,4180389",1,,,
University of Messina,"1,670644391","37,17948718","0,2594565069","14,08450704","28,16901408","15,32955102","30,65810594","87,11111111","22,87448386",1,,,
University of Bari,"7,637231504",0,"9,395056671","42,25352113",0,"13,70616414",0,"83,11111111","55,64399781",1,,,
Marche (Ancona),"0,477326969","34,61538462",0,0,"28,16901408","10,99317495","38,00160514","62,13333333","87,99562211",0,,,
University of Cagliari,0,"29,48717949","3,168100505","14,08450704",0,"8,102608709","40,24879615","52,88888889","77,83692354",1,,,
University of Campania (Vanvitelli),"1,909307876","7,692307692","2,458009013","21,12676056",0,"7,226694502","65,65008026","69,33333333","2,746132033",2,,,
